level_0,transaction_date,ticker,asset_description,type,amount,representative,timestamp,state,party_x,total_senate_years,total_house_years,total_years,total_raised,total_from_small_donors,percent_from_small_donors*,total_money_raised,start,day_30,day_30_stock_perc_diff,day_60,day_60_stock_perc_diff,day_90,day_90_stock_perc_diff,day_180,day_180_stock_perc_diff,sp_start,sp_30,sp_30_sp_perc_diff,sp_60,sp_60_sp_perc_diff,sp_90,sp_90_sp_perc_diff,sp_180,sp_180_sp_perc_diff
23,2020-10-13,AMED,Amedisys Inc,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,252.19000244140625,244.3999938964844,-0.031,270.29000854492193,0.072,293.8900146484375,0.165,283.0899963378906,0.123,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
24,2020-10-13,ANSS,"ANSYS, Inc.",sale_partial,"$15,001 - $50,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,351.30999755859375,328.9599914550781,-0.064,335.19000244140625,-0.046,364.2799987792969,0.037,366.70001220703125,0.044,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
25,2020-10-13,TECH,Bio-Techne Corp,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,269.57998657226557,306.45001220703125,0.137,304.9599914550781,0.131,347.7099914550781,0.29,408.7200012207031,0.516,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
26,2020-10-13,CHE,Chemed Corp,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,493.25,487.30999755859375,-0.012,485.0,-0.017,529.2000122070311,0.073,465.3699951171875,-0.057,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
27,2020-10-13,CGNX,Cognex Corporation,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,69.12999725341797,72.2300033569336,0.045,76.6500015258789,0.109,84.04000091552734,0.216,85.54000091552734,0.237,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
28,2020-10-13,CSGP,"CoStar Group, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,883.219970703125,898.6699829101562,0.017,848.6400146484375,-0.039,853.719970703125,-0.033,887.489990234375,0.005,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
29,2020-10-15,DORM,"Dorman Products, Inc.",sale_full,"$100,001 - $250,000",Greg Gianforte,1602734400,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,92.12000274658205,94.73999786376952,0.028,99.36000061035156,0.079,98.27999877929688,0.067,105.70999908447266,0.148,3483.340087890625,3585.14990234375,0.029,3694.6201171875,0.061,3851.85009765625,0.106,4127.990234375,0.185
30,2020-10-13,FAST,Fastenal Company,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,45.349998474121094,47.2400016784668,0.042,49.209999084472656,0.085,50.47999954223633,0.113,50.06000137329102,0.104,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
31,2020-10-13,LOPE,"Grand Canyon Education, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,82.98999786376953,85.02999877929688,0.025,90.3499984741211,0.089,89.83000183105469,0.082,112.36000061035156,0.354,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
32,2020-10-28,GWRE,"Guidewire Software, Inc.",purchase,"$100,001 - $250,000",Greg Gianforte,1603857600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,98.31999969482422,122.70999908447266,0.248,126.95999908447266,0.291,119.20999908447266,0.212,104.94000244140624,0.067,3271.030029296875,3638.35009765625,0.112,3727.0400390625,0.139,3826.31005859375,0.17,4180.169921875,0.278
33,2020-10-13,JKHY,"Jack Henry & Associates, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,161.91000366210938,161.0800018310547,-0.005,155.82000732421875,-0.038,154.5500030517578,-0.045,155.72000122070312,-0.038,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
34,2020-10-13,LII,"Lennox International, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,285.4100036621094,292.5899963378906,0.025,280.42001342773443,-0.017,281.44000244140625,-0.014,332.4200134277344,0.165,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
35,2020-10-13,NEOG,Neogen Corporation,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,71.66999816894531,72.3499984741211,0.009,79.4800033569336,0.109,83.55999755859375,0.166,92.5500030517578,0.291,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
36,2020-10-13,PAYC,"Paycom Software, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,373.7799987792969,381.4599914550781,0.021,423.8900146484375,0.134,399.0,0.067,381.2300109863281,0.02,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
37,2020-10-13,PCTY,Paylocity Holding Corporation,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,189.0500030517578,193.1999969482422,0.022,192.1100006103516,0.016,189.3699951171875,0.002,188.72000122070312,-0.002,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
38,2020-10-13,PEGA,Pegasystems Inc.,sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,132.39999389648438,123.33999633789062,-0.068,125.2300033569336,-0.054,134.16999816894528,0.013,123.5199966430664,-0.067,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
39,2020-10-13,TDOC,"Teladoc Health, Inc.",sale_partial,"$1,001 - $15,000",Greg Gianforte,1602561600,Montana,Republican,0,4,4,$352725,$17860,5.06%,Raised over $100k,231.8000030517578,182.5500030517578,-0.212,199.5800018310547,-0.139,225.25,-0.028,181.25999450683597,-0.218,3511.929931640625,3572.659912109375,0.017,3663.4599609375,0.043,3768.25,0.073,4128.7998046875,0.176
40,2020-10-09,AAPL,Apple Inc.,sale_partial,"$15,001 - $50,000",Lloyd K. Smucker,1602216000,Pennsylvania,Republican,0,4,4,$1349318,$17562,1.30%,Raised over $100k,116.97000122070312,116.31999969482422,-0.006,121.77999877929688,0.041,130.88999938964844,0.119,126.20999908447266,0.079,3477.139892578125,3550.5,0.021,3672.820068359375,0.056,3809.840087890625,0.096,4073.93994140625,0.172
41,2020-08-14,NWN,Northwest Natural Holding Company,purchase,"$1,001 - $15,000",Earl Blumenauer,1597377600,Oregon,Democratic,0,26,26,$1813365,$131238,7.24%,Raised over $100k,53.5,45.43000030517578,-0.151,46.459999084472656,-0.132,49.68999862670898,-0.071,46.709999084472656,-0.127,3372.85009765625,3401.199951171875,0.008,3488.669921875,0.034,3626.909912109375,0.075,3911.22998046875,0.16
42,2020-07-28,SYPR,"Sypris Solutions, Inc.",sale_full,"$1,001 - $15,000",James Comer,1595908800,Kentucky,Republican,0,5,5,$736116,$9223,1.25%,Raised over $100k,1.6299999952316284,1.2300000190734863,-0.245,1.3200000524520874,-0.19,1.1200000047683716,-0.313,2.0199999809265137,0.239,3218.43994140625,3478.72998046875,0.081,3298.4599609375,0.025,3271.030029296875,0.016,3841.469970703125,0.194
43,2020-08-06,WLK,Westlake Chemical Corporation,sale_full,"$1,001 - $15,000",James Comer,1596686400,Kentucky,Republican,0,5,5,$736116,$9223,1.25%,Raised over $100k,57.36999893188477,62.81000137329102,0.095,66.01000213623047,0.151,71.83000183105469,0.252,79.18000030517578,0.38,3349.159912109375,3426.9599609375,0.023,3360.969970703125,0.004,3509.43994140625,0.048,3773.860107421875,0.127
44,2020-08-14,DOX,Amdocs Limited - Ordinary Shares,sale_partial,"$1,001 - $15,000",Lois Frankel,1597377600,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,61.79999923706055,58.52999877929688,-0.053,58.02000045776367,-0.061,64.51000213623047,0.044,77.13999938964844,0.248,3372.85009765625,3401.199951171875,0.008,3488.669921875,0.034,3626.909912109375,0.075,3911.22998046875,0.16
45,2020-08-13,DOX,Amdocs Limited - Ordinary Shares,sale_partial,"$1,001 - $15,000",Lois Frankel,1597291200,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,61.0099983215332,57.91999816894531,-0.051,58.31000137329102,-0.044,64.19000244140625,0.052,76.52999877929688,0.254,3373.429931640625,3383.5400390625,0.003,3511.929931640625,0.041,3585.14990234375,0.063,3915.590087890625,0.161
46,2020-08-13,BURL,"Burlington Stores, Inc.",purchase,"$1,001 - $15,000",Lois Frankel,1597291200,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,192.3999938964844,206.4499969482422,0.073,212.07000732421875,0.102,225.41000366210938,0.172,263.85000610351557,0.371,3373.429931640625,3383.5400390625,0.003,3511.929931640625,0.041,3585.14990234375,0.063,3915.590087890625,0.161
47,2020-08-12,CB,Chubb Limited,purchase,"$1,001 - $15,000",Lois Frankel,1597204800,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,130.27999877929688,120.66999816894531,-0.074,123.4499969482422,-0.052,146.17999267578125,0.122,162.5500030517578,0.248,3380.35009765625,3340.969970703125,-0.012,3534.219970703125,0.046,3537.010009765625,0.046,3886.830078125,0.15
48,2020-07-24,CIEN,Ciena Corporation,purchase,"$1,001 - $15,000",Lois Frankel,1595563200,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,56.72000122070313,59.599998474121094,0.051,39.290000915527344,-0.307,40.56999969482422,-0.285,52.61999893188477,-0.072,3215.6298828125,3431.280029296875,0.067,3236.919921875,0.007,3400.969970703125,0.058,3798.909912109375,0.181
49,2020-07-28,D,"Dominion Energy, Inc.",purchase,"$1,001 - $15,000",Lois Frankel,1595908800,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,82.05999755859375,78.08000183105469,-0.049,77.05000305175781,-0.061,79.80000305175781,-0.028,72.29000091552734,-0.119,3218.43994140625,3478.72998046875,0.081,3298.4599609375,0.025,3271.030029296875,0.016,3841.469970703125,0.194
50,2020-07-28,FE,FirstEnergy Corp.,sale_partial,"$1,001 - $15,000",Lois Frankel,1595908800,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,29.13999938964844,28.01000022888184,-0.039,28.60000038146973,-0.019,31.76000022888184,0.09,31.270000457763672,0.073,3218.43994140625,3478.72998046875,0.081,3298.4599609375,0.025,3271.030029296875,0.016,3841.469970703125,0.194
51,2020-07-22,FE,FirstEnergy Corp.,sale_partial,"$1,001 - $15,000",Lois Frankel,1595390400,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,27.09000015258789,28.36000061035156,0.047,28.6299991607666,0.057,33.029998779296875,0.219,31.670000076293945,0.169,3276.02001953125,3385.510009765625,0.033,3281.06005859375,0.002,3453.489990234375,0.054,3768.25,0.15
52,2020-08-14,HAE,Haemonetics Corporation,purchase,"$1,001 - $15,000",Lois Frankel,1597377600,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,84.43000030517578,86.26000213623047,0.022,93.61000061035156,0.109,108.51000213623048,0.285,137.35000610351562,0.627,3372.85009765625,3401.199951171875,0.008,3488.669921875,0.034,3626.909912109375,0.075,3911.22998046875,0.16
53,2020-08-07,HSIC,"Henry Schein, Inc.",sale_full,"$1,001 - $15,000",Lois Frankel,1596772800,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,67.80000305175781,63.7400016784668,-0.06,59.459999084472656,-0.123,68.0,0.003,67.43000030517578,-0.005,3351.280029296875,3331.840087890625,-0.006,3419.43994140625,0.02,3550.5,0.059,3826.31005859375,0.142
54,2020-07-28,LOW,"Lowe's Companies, Inc.",purchase,"$1,001 - $15,000",Lois Frankel,1595908800,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,147.7100067138672,170.38999938964844,0.154,159.5500030517578,0.08,161.4199981689453,0.093,172.39999389648438,0.167,3218.43994140625,3478.72998046875,0.081,3298.4599609375,0.025,3271.030029296875,0.016,3841.469970703125,0.194
55,2020-07-16,STOR,STORE Capital Corporation,sale_partial,"$1,001 - $15,000",Lois Frankel,1594872000,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,22.34000015258789,25.26000022888184,0.131,29.5,0.321,27.13999938964844,0.215,30.59000015258789,0.369,3215.570068359375,3372.85009765625,0.049,3401.199951171875,0.058,3483.81005859375,0.083,3799.610107421875,0.182
56,2020-07-23,SYY,Sysco Corporation,sale_full,"$1,001 - $15,000",Lois Frankel,1595476800,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,54.93999862670898,57.459999084472656,0.046,64.01999664306639,0.165,64.80000305175781,0.179,75.56999969482422,0.376,3235.659912109375,3397.159912109375,0.05,3315.570068359375,0.025,3465.389892578125,0.071,3768.25,0.165
57,2020-07-24,WSO,"Watsco, Inc.",sale_partial,"$1,001 - $15,000",Lois Frankel,1595563200,Florida,Democratic,0,8,8,$1534882,$136613,8.90%,Raised over $100k,227.32000732421875,243.3500061035156,0.071,229.32000732421875,0.009,227.82000732421875,0.002,243.4499969482422,0.071,3215.6298828125,3431.280029296875,0.067,3236.919921875,0.007,3400.969970703125,0.058,3798.909912109375,0.181
58,2019-10-17,ZBRA,Zebra Technologies Corporation - Class A,sale_full,"$100,001 - $250,000",James R. Langevin,1571284800,Rhode Island,Democratic,0,20,20,$3321170,$398778,12.01%,Raised over $100k,205.72999572753903,237.72999572753903,0.156,253.44000244140625,0.232,253.75,0.233,197.91000366210938,-0.038,2997.949951171875,3120.4599609375,0.041,3192.52001953125,0.065,3321.75,0.108,2761.6298828125,-0.079
59,2020-07-23,ACI,"Albertsons Companies, Inc. Class A",purchase,"$1,001 - $15,000",Susie Lee,1595476800,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,16.030000686645508,14.899999618530273,-0.07,13.899999618530273,-0.133,14.829999923706055,-0.075,17.290000915527347,0.079,3235.659912109375,3397.159912109375,0.05,3315.570068359375,0.025,3465.389892578125,0.071,3768.25,0.165
60,2020-07-08,CCL,Carnival Corporation,sale_full,"$1,001 - $15,000",Susie Lee,1594180800,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,15.31999969482422,13.779999732971193,-0.101,18.530000686645508,0.21,15.609999656677244,0.019,21.65999984741211,0.414,3169.93994140625,3349.159912109375,0.057,3426.9599609375,0.081,3446.830078125,0.087,3756.070068359375,0.185
61,2020-07-29,CBRE,CBRE Group Inc Common Stock Class A,sale_full,"$1,001 - $15,000",Susie Lee,1595995200,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,43.0,47.349998474121094,0.101,47.34000015258789,0.101,51.29999923706055,0.193,66.01999664306639,0.535,3258.43994140625,3484.550048828125,0.069,3351.60009765625,0.029,3310.110107421875,0.016,3841.469970703125,0.179
62,2020-07-13,CCX,"Churchill Capital Corp III Class A Common Stock, par Value $0.0001 per Share",purchase,"$1,001 - $15,000",Susie Lee,1594612800,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,11.010000228881836,10.5600004196167,-0.041,10.729999542236328,-0.025,10.0,-0.092,10.5,-0.046,3155.219970703125,3333.68994140625,0.057,3339.18994140625,0.058,3511.929931640625,0.113,3824.679931640625,0.212
63,2020-07-16,DELL,Dell Technologies Inc. Class C,sale_partial,"$1,001 - $15,000",Susie Lee,1594872000,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,59.099998474121094,59.90999984741211,0.014,67.09999847412111,0.135,70.15000152587889,0.187,75.62999725341797,0.28,3215.570068359375,3372.85009765625,0.049,3401.199951171875,0.058,3483.81005859375,0.083,3799.610107421875,0.182
64,2020-07-08,GGT,"Gabelli Multi-Media Trust, Inc.",sale_full,"$15,001 - $50,000",Susie Lee,1594180800,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,6.480000019073486,7.010000228881836,0.082,7.139999866485597,0.102,6.75,0.042,7.960000038146973,0.228,3169.93994140625,3349.159912109375,0.057,3426.9599609375,0.081,3446.830078125,0.087,3756.070068359375,0.185
65,2020-07-08,MAR,Marriott International - Class A,sale_full,"$15,001 - $50,000",Susie Lee,1594180800,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,89.98999786376953,90.38999938964844,0.004,104.81999969482422,0.165,100.30999755859376,0.115,131.91999816894528,0.466,3169.93994140625,3349.159912109375,0.057,3426.9599609375,0.081,3446.830078125,0.087,3756.070068359375,0.185
66,2020-07-15,NMIH,NMI Holdings Inc,sale_full,"$1,001 - $15,000",Susie Lee,1594785600,Nevada,Democratic,0,2,2,$4748019,$284775,6.00%,Raised over $100k,15.1899995803833,16.600000381469727,0.093,18.82999992370605,0.24,23.11000061035156,0.521,24.1299991607666,0.589,3226.56005859375,3373.429931640625,0.046,3383.5400390625,0.049,3483.340087890625,0.08,3824.679931640625,0.185
